197,CONTROL_STRUCTURE,-1,,"if (!defined(""DVWA_WEB_PAGE_TO_ROOT""))",,IF,9,1,<empty>
205,CONTROL_STRUCTURE,-1,,"if (!@$GLOBALS[""___mysqli_ston""] = mysqli_connect($_DVWA[""db_server""],$_DVWA[""db_user""],$_DVWA[""db_password""],"""",$_DVWA[""db_port""]))",,IF,13,2,<empty>
232,CONTROL_STRUCTURE,-1,,"if ($_DVWA[""db_user""] == ""root"")",,IF,15,2,<empty>
247,CONTROL_STRUCTURE,-1,,"if (!@mysqli_query($GLOBALS[""___mysqli_ston""],$drop_db))",,IF,23,4,<empty>
277,CONTROL_STRUCTURE,-1,,"if (!@mysqli_query($GLOBALS[""___mysqli_ston""],$create_db))",,IF,29,6,<empty>
303,CONTROL_STRUCTURE,-1,,"if (!@(bool) mysqli_query($GLOBALS[""___mysqli_ston""],""USE "" . $_DVWA[""db_database""]))",,IF,37,8,<empty>
321,CONTROL_STRUCTURE,-1,,"if (!mysqli_query($GLOBALS[""___mysqli_ston""],$create_tb))",,IF,43,10,<empty>
363,CONTROL_STRUCTURE,-1,,"if (!mysqli_query($GLOBALS[""___mysqli_ston""],$insert))",,IF,60,15,<empty>
390,CONTROL_STRUCTURE,-1,,"if (!mysqli_query($GLOBALS[""___mysqli_ston""],$create_tb_guestbook))",,IF,69,18,<empty>
417,CONTROL_STRUCTURE,-1,,"if (!mysqli_query($GLOBALS[""___mysqli_ston""],$insert))",,IF,78,21,<empty>
454,CONTROL_STRUCTURE,-1,,if (file_exists($conf)),,IF,90,25,<empty>
463,CONTROL_STRUCTURE,-1,,if (!dvwaIsLoggedIn()),,IF,100,28,<empty>
528,CONTROL_STRUCTURE,-1,,if (!@pg_connect(encaps)),,IF,10,1,<empty>
555,CONTROL_STRUCTURE,-1,,if (!@pg_query($drop_db)),,IF,18,3,<empty>
571,CONTROL_STRUCTURE,-1,,if (!@pg_query($create_db)),,IF,25,5,<empty>
604,CONTROL_STRUCTURE,-1,,if (!pg_query($drop_table)),,IF,41,9,<empty>
615,CONTROL_STRUCTURE,-1,,if (!pg_query($create_tb)),,IF,48,11,<empty>
650,CONTROL_STRUCTURE,-1,,if (!pg_query($insert)),,IF,66,17,<empty>
663,CONTROL_STRUCTURE,-1,,if (!@pg_query($drop_table)),,IF,77,20,<empty>
675,CONTROL_STRUCTURE,-1,,if (!pg_query($create_tb_guestbook)),,IF,84,22,<empty>
688,CONTROL_STRUCTURE,-1,,if (!pg_query($insert)),,IF,94,25,<empty>
3450,CONTROL_STRUCTURE,-1,,foreach ($lines as $line),,FOR,,20,<empty>
3467,CONTROL_STRUCTURE,-1,,"if (chop($line) === """")",,IF,174,1,<empty>
3472,CONTROL_STRUCTURE,-1,,if (isset($CurrentBlock)),,IF,176,1,<empty>
3487,CONTROL_STRUCTURE,-1,,continue,,CONTINUE,183,2,<empty>
3488,CONTROL_STRUCTURE,-1,,"while ($beforeTab = strstr($line,""\t"",true) !== false)",,WHILE,186,2,<empty>
3536,CONTROL_STRUCTURE,-1,,"if (isset($CurrentBlock[""continuable""]))",,IF,206,6,<empty>
3551,CONTROL_STRUCTURE,-1,,if (isset($Block)),,IF,211,3,<empty>
